Order ID,Merchant ID,Restaurant Name,City,Tier,Cuisine,Dish Name,Base Time,Acoustic dB,POS Tickets,Chaos Index,Manual FOR Mins,Actual Food Ready Mins,Rider Arrival Mins,Rider Depart Mins,Actual Rider Wait Mins,Trust Score,Order Completion Time,Adjusted KPT Signal,Food Delay Mins,Total Delay,ETA Currently,Delay,Order Status,Old Error,New Error
ORDER_0029,MCH_020,Bombay Biryani Lounge,Mumbai,Tier 2,Chinese,Hakka Noodles,10,63.8,2,1.18,4.8,11.8,8.3,11.8,3.5,0.53,25.8,8.09,1.8,5.3,20,5.8,Delayed,7,3.71
ORDER_0030,MCH_024,Desi Chaat Express,Chennai,Tier 3,South Indian,Idli Vada Set,5,58.9,0,0.98,3.3,4.9,8,8,0,0.69,20,4.76,-0.1,-0.1,16,4,On Time,1.6,0.14
ORDER_0031,MCH_227,Classic Chaat Point,Delhi,Tier 3,South Indian,Masala Dosa,8,56.4,0,0.93,4.2,7.4,9.6,9.6,0,0.64,24.6,6.14,-0.6,-0.6,23,1.6,On Time,3.2,1.26
ORDER_0032,MCH_154,Urban Cafe Story,Jaipur,Tier 3,Beverages,Cold Coffee,4,58,0,0.96,2,3.8,8.4,8.4,0,0.57,22.4,4.75,-0.2,-0.2,21,1.4,On Time,1.8,0.95
ORDER_0033,MCH_293,Bombay Wok Palace,Hyderabad,Tier 2,South Indian,Idli Vada Set,5,76,8,1.72,5,8.6,10.5,10.5,0,0.63,23.5,7.04,3.6,3.6,25,-1.5,Early,3.6,1.56
ORDER_0034,MCH_230,Spicy Grill Story,Ahmedabad,Tier 1,Chinese,Hakka Noodles,10,74,12,1.88,10.6,18.8,18.2,18.8,0.6,0.45,29.8,15.11,8.8,9.4,22,7.8,Delayed,8.2,3.69
ORDER_0035,MCH_202,Royal Biryani Corner,Bengaluru,Tier 3,Desserts,Choco Lava Cake,6,64.9,0,1.1,2,6.6,8,8,0,0.6,21,4.4,0.6,0.6,25,-4,Early,4.6,2.2
ORDER_0036,MCH_038,Bombay Chaat Palace,Kolkata,Tier 1,Fast Food,Zinger Burger & Fries,10,89.4,19,2.54,17.3,25.4,20.5,25.4,4.9,0.46,37.4,21.67,15.4,20.3,22,15.4,Delayed,8.1,3.73
ORDER_0037,MCH_260,Classic Biryani Lounge,Mumbai,Tier 3,Beverages,Cold Coffee,4,58.2,0,0.96,2.2,3.8,5.8,5.8,0,0.76,19.8,3.06,-0.2,-0.2,20,-0.2,Early,1.6,0.74
ORDER_0038,MCH_188,Shree Bake Story,Bhilwara,Tier 3,Beverages,Cold Coffee,4,54,0,0.88,2,3.5,8.8,8.8,0,0.55,19.8,5.06,-0.5,-0.5,17,2.8,On Time,1.5,1.56
ORDER_0039,MCH_057,Classic Kitchen Palace,Mumbai,Tier 2,Chinese,Hakka Noodles,10,70.9,11,1.77,14.7,17.7,21.3,21.3,0,0.56,36.3,17.6,7.7,7.7,23,13.3,Delayed,3,0.1
ORDER_0040,MCH_020,Bombay Biryani Lounge,Mumbai,Tier 2,North Indian,Dal Makhani Combo,12,75.4,11,1.86,14.3,22.3,18.1,22.3,4.2,0.47,32.3,18.54,10.3,14.5,28,4.3,On Time,8,3.76
ORDER_0041,MCH_273,Spicy Dhaba House,Jaipur,Tier 3,Biryani,Chicken Dum Biryani,18,58.6,0,0.97,14.8,17.5,18.1,18.1,0,0.78,28.1,15.53,-0.5,-0.5,32,-3.9,Early,2.7,1.97
ORDER_0042,MCH_119,Golden Kitchen Palace,Kolkata,Tier 3,Fast Food,Peri Peri Pizza,14,60.4,0,1.01,10.3,14.1,16.2,16.2,0,0.61,26.2,12.6,0.1,0.1,30,-3.8,Early,3.8,1.5
ORDER_0043,MCH_071,Royal Bake Hub,Jaipur,Tier 2,North Indian,Dal Makhani Combo,12,72.7,5,1.5,11.2,18,17.4,18,0.6,0.55,29,14.26,6,6.6,25,4,On Time,6.8,3.74
ORDER_0044,MCH_004,Golden Tandoor Story,Pune,Tier 3,Chinese,Hakka Noodles,10,61.6,0,1.03,5.6,10.3,9.3,10.3,1,0.69,25.3,7.06,0.3,1.3,28,-2.7,Early,4.7,3.24
ORDER_0045,MCH_221,The Cafe Point,Bengaluru,Tier 2,North Indian,Dal Makhani Combo,12,62.6,2,1.15,10.4,13.8,15.8,15.8,0,0.64,26.8,12.34,1.8,1.8,28,-1.2,Early,3.4,1.46
ORDER_0046,MCH_014,Spicy Dosa Junction,Delhi,Tier 3,Fast Food,Peri Peri Pizza,14,63.7,0,1.07,9.4,15,13.9,15,1.1,0.63,27,11.47,1,2.1,31,-4,Early,5.6,3.53
ORDER_0047,MCH_003,The Chaat Point,Jaipur,Tier 3,Chinese,Hakka Noodles,10,60.5,0,1.01,4.3,10.1,12,12,0,0.49,22,8.23,0.1,0.1,25,-3,Early,5.8,1.87
ORDER_0048,MCH_216,Classic Grill Junction,Bengaluru,Tier 3,Chinese,Hakka Noodles,10,64.8,0,1.1,9.2,11,13.3,13.3,0,0.73,28.3,10.31,1,1,24,4.3,On Time,1.8,0.69
ORDER_0049,MCH_229,The Tandoor House,Bhilwara,Tier 2,Beverages,Cold Coffee,4,65.5,5,1.36,3.2,5.4,9.9,9.9,0,0.55,21.9,6.22,1.4,1.4,17,4.9,On Time,2.2,0.82
ORDER_0050,MCH_186,Spicy Wok Corner,Mumbai,Tier 3,North Indian,Dal Makhani Combo,12,56.6,0,0.93,7.8,11.2,13.4,13.4,0,0.63,28.4,9.87,-0.8,-0.8,32,-3.6,Early,3.4,1.33
ORDER_0051,MCH_055,Spicy Wok Express,Jaipur,Tier 2,Biryani,Hyderabadi Mutton Biryani,20,57,2,1.04,19.4,20.8,22.5,22.5,0,0.79,35.5,20.05,0.8,0.8,37,-1.5,Early,1.4,0.75
ORDER_0052,MCH_254,Grand Tandoor Darbar,Jaipur,Tier 2,North Indian,Paneer Butter Masala & Naan,15,76.2,11,1.87,20.4,28,26,28,2,0.49,39,24.28,13,15,34,5,On Time,7.6,3.72
ORDER_0053,MCH_024,Desi Chaat Express,Chennai,Tier 3,Chinese,Hakka Noodles,10,56.3,0,0.93,7.1,9.3,10.6,10.6,0,0.77,20.6,7.9,-0.7,-0.7,25,-4.4,Early,2.2,1.4
ORDER_0054,MCH_162,Grand Chaat House,Jaipur,Tier 1,North Indian,Dal Makhani Combo,12,95,26,3,32,36,38.3,38.3,0,0.58,53.3,34.65,24,24,23,30.3,Cancelled,4,1.35
ORDER_0055,MCH_158,Grand Wok Junction,Delhi,Tier 3,South Indian,Masala Dosa,8,63.1,0,1.06,2.5,8.5,8.3,8.5,0.2,0.6,21.5,4.9,0.5,0.7,21,0.5,On Time,6,3.6
ORDER_0056,MCH_082,Royal Wok House,Ahmedabad,Tier 3,Fast Food,Zinger Burger & Fries,10,54.8,0,0.9,2,9,5.1,9,3.9,0.53,20,5.29,-1,2.9,20,0,Early,7,3.71
ORDER_0057,MCH_159,Urban Grill Lounge,Bhilwara,Tier 2,South Indian,Masala Dosa,8,76.8,11,1.89,8,15.1,12,15.1,3.1,0.53,29.1,11.34,7.1,10.2,19,10.1,Delayed,7.1,3.76
ORDER_0058,MCH_188,Shree Bake Story,Bhilwara,Tier 3,North Indian,Dal Makhani Combo,12,59.8,0,1,10,12,16.9,16.9,0,0.54,26.9,13.17,0,0,25,1.9,On Time,2,1.17
ORDER_0059,MCH_060,Golden Grill Palace,Bhilwara,Tier 1,Biryani,Chicken Dum Biryani,18,79.8,13,2.05,32,36.9,36.4,36.9,0.5,0.67,46.9,33.62,18.9,19.4,38,8.9,Delayed,4.9,3.28
ORDER_0060,MCH_211,Spicy Grill Darbar,Delhi,Tier 2,Biryani,Chicken Dum Biryani,18,73.2,6,1.56,21.1,28.1,26.6,28.1,1.5,0.53,39.1,24.39,10.1,11.6,35,4.1,On Time,7,3.71
ORDER_0061,MCH_152,Royal Kitchen Corner,Kolkata,Tier 3,North Indian,Dal Makhani Combo,12,57.5,0,0.95,5.9,11.4,10.5,11.4,0.9,0.63,24.4,7.94,-0.6,0.3,30,-5.6,Early,5.5,3.46
ORDER_0062,MCH_109,Urban Dosa Story,Chennai,Tier 3,Beverages,Cold Coffee,4,64.2,0,1.08,2,4.3,9.6,9.6,0,0.49,19.6,5.88,0.3,0.3,14,5.6,Delayed,2.3,1.58
ORDER_0063,MCH_076,Bombay Dhaba Junction,Bhilwara,Tier 2,Beverages,Cold Coffee,4,63.7,6,1.37,2,5.5,7.7,7.7,0,0.62,19.7,4.17,1.5,1.5,15,4.7,On Time,3.5,1.33
ORDER_0064,MCH_030,Royal Dhaba Lounge,Hyderabad,Tier 1,Chinese,Hakka Noodles,10,89,18,2.48,22.6,24.8,29.1,29.1,0,0.57,40.1,25.4,14.8,14.8,24,16.1,Delayed,2.2,0.6
ORDER_0065,MCH_117,Golden Kitchen Hub,Bhilwara,Tier 3,Fast Food,Peri Peri Pizza,14,64.4,0,1.09,8.4,15.3,11.8,15.3,3.5,0.54,26.3,11.57,1.3,4.8,28,-1.7,Early,6.9,3.73
ORDER_0066,MCH_192,Desi Kitchen Hub,Kolkata,Tier 2,North Indian,Paneer Butter Masala & Naan,15,53.8,4,1.08,15.2,16.2,18.4,18.4,0,0.79,29.4,15.87,1.2,1.2,28,1.4,On Time,1,0.33
ORDER_0067,MCH_019,Royal Chaat Corner,Chennai,Tier 2,Chinese,Hakka Noodles,10,73.4,9,1.72,14,17.2,18.3,18.3,0,0.71,30.3,15.25,7.2,7.2,27,3.3,On Time,3.2,1.95
ORDER_0068,MCH_173,Golden Grill House,Pune,Tier 3,South Indian,Masala Dosa,8,59.6,0,0.99,7.2,7.9,11.7,11.7,0,0.7,24.7,8.55,-0.1,-0.1,25,-0.3,Early,0.7,0.65
ORDER_0069,MCH_228,The Bake Story,Kolkata,Tier 3,Desserts,Choco Lava Cake,6,60.2,0,1,2,6,8.4,8.4,0,0.57,21.4,4.75,0,0,17,4.4,On Time,4,1.25
ORDER_0070,MCH_183,Grand Wok Express,Bengaluru,Tier 3,North Indian,Paneer Butter Masala & Naan,15,65.1,0,1.1,12.9,16.5,18.7,18.7,0,0.61,28.7,15.16,1.5,1.5,30,-1.3,Early,3.6,1.34
ORDER_0071,MCH_113,The Cafe Lounge,Pune,Tier 3,South Indian,Masala Dosa,8,57.7,0,0.95,6.8,7.6,11.7,11.7,0,0.67,22.7,8.42,-0.4,-0.4,21,1.7,On Time,0.8,0.82
ORDER_0072,MCH_183,Grand Wok Express,Bengaluru,Tier 3,Beverages,Cold Coffee,4,56.4,0,0.93,2,3.7,8.3,8.3,0,0.58,23.3,4.65,-0.3,-0.3,15,8.3,Delayed,1.7,0.95
ORDER_0073,MCH_146,Urban Wok Darbar,Bengaluru,Tier 3,North Indian,Dal Makhani Combo,12,60.2,0,1,8.9,12,12.7,12.7,0,0.75,22.7,9.85,0,0,31,-8.3,Early,3.1,2.15
ORDER_0074,MCH_116,Spicy Grill Express,Pune,Tier 3,Fast Food,Peri Peri Pizza,14,63.4,0,1.07,6.7,15,10,15,5,0.45,26,11.26,1,6,32,-6,Early,8.3,3.74
ORDER_0075,MCH_113,The Cafe Lounge,Pune,Tier 3,South Indian,Masala Dosa,8,61.7,0,1.03,6.9,8.2,14.2,14.2,0,0.51,28.2,10.48,0.2,0.2,21,7.2,Delayed,1.3,2.28
ORDER_0076,MCH_251,Bombay Dhaba Lounge,Jaipur,Tier 2,Beverages,Cold Coffee,4,76.6,11,1.88,3.4,7.5,9.2,9.2,0,0.61,20.2,5.66,3.5,3.5,19,1.2,On Time,4.1,1.84
ORDER_0077,MCH_251,Bombay Dhaba Lounge,Jaipur,Tier 2,Fast Food,Peri Peri Pizza,14,66.8,5,1.39,14.2,19.5,20.4,20.4,0,0.59,31.4,16.74,5.5,5.5,29,2.4,On Time,5.3,2.76
ORDER_0078,MCH_118,Grand Chaat Darbar,Kolkata,Tier 1,Chinese,Hakka Noodles,10,91.5,25,2.88,27.1,28.8,31.6,31.6,0,0.7,41.6,28.45,18.8,18.8,27,14.6,Delayed,1.7,0.35
ORDER_0079,MCH_161,The Biryani Junction,Chennai,Tier 2,North Indian,Dal Makhani Combo,12,69.3,5,1.44,14.8,17.3,19.7,19.7,0,0.67,34.7,16.42,5.3,5.3,26,8.7,Delayed,2.5,0.88
ORDER_0080,MCH_198,Shree Chaat Lounge,Hyderabad,Tier 3,Fast Food,Zinger Burger & Fries,10,62.1,0,1.04,7.1,10.4,10.5,10.5,0,0.77,24.5,7.88,0.4,0.4,30,-5.5,Early,3.3,2.52
ORDER_0081,MCH_260,Classic Biryani Lounge,Mumbai,Tier 3,Biryani,Chicken Dum Biryani,18,57.9,0,0.96,15.5,17.3,22.8,22.8,0,0.51,36.8,19.08,-0.7,-0.7,31,5.8,Delayed,1.8,1.78
ORDER_0082,MCH_148,Golden Bake Story,Ahmedabad,Tier 1,South Indian,Idli Vada Set,5,82.6,16,2.25,8.3,11.2,14.3,14.3,0,0.6,28.3,10.7,6.2,6.2,23,5.3,Delayed,2.9,0.5
ORDER_0083,MCH_240,Bombay Grill Hub,Delhi,Tier 3,Fast Food,Peri Peri Pizza,14,56.9,0,0.94,10.1,13.2,13.5,13.5,0,0.77,24.5,10.88,-0.8,-0.8,30,-5.5,Early,3.1,2.32
ORDER_0084,MCH_047,Golden Dosa House,Mumbai,Tier 2,Fast Food,Zinger Burger & Fries,10,71.6,6,1.53,12.7,15.3,19.7,19.7,0,0.53,31.7,15.99,5.3,5.3,30,1.7,On Time,2.6,0.69
ORDER_0085,MCH_198,Shree Chaat Lounge,Hyderabad,Tier 3,Fast Food,Zinger Burger & Fries,10,58.9,0,0.98,8.1,9.8,13.3,13.3,0,0.65,26.3,9.92,-0.2,-0.2,24,2.3,On Time,1.7,0.12
ORDER_0086,MCH_047,Golden Dosa House,Mumbai,Tier 2,Fast Food,Peri Peri Pizza,14,74.6,10,1.79,23.6,25.1,30.4,30.4,0,0.55,41.4,26.66,11.1,11.1,25,16.4,Delayed,1.5,1.56
ORDER_0087,MCH_078,Shree Kitchen Point,Ahmedabad,Tier 2,Fast Food,Zinger Burger & Fries,10,72.4,7,1.6,8.7,16,11.8,16,4.2,0.51,26,12.28,6,10.2,22,4,On Time,7.3,3.72
ORDER_0088,MCH_124,Classic Bake Point,Kolkata,Tier 2,South Indian,Masala Dosa,8,65.5,3,1.26,9.4,10.1,12.5,12.5,0,0.79,22.5,10.05,2.1,2.1,23,-0.5,Early,0.7,0.05
ORDER_0089,MCH_075,Grand Biryani Story,Jaipur,Tier 2,Fast Food,Zinger Burger & Fries,10,67.7,4,1.35,5.5,13.5,9.4,13.5,4.1,0.47,27.5,9.74,3.5,7.6,30,-2.5,Early,8,3.76
ORDER_0090,MCH_137,Classic Dosa Story,Ahmedabad,Tier 3,Beverages,Cold Coffee,4,60.5,0,1.01,3.5,4,7.6,7.6,0,0.73,17.6,4.61,0,0,22,-4.4,Early,0.5,0.61
ORDER_0091,MCH_090,The Wok Hub,Delhi,Tier 1,North Indian,Paneer Butter Masala & Naan,15,95,27,3.05,40.1,45.8,46.9,46.9,0,0.55,60.9,43.16,30.8,30.8,33,27.9,Cancelled,5.7,2.64
ORDER_0092,MCH_061,Bombay Dhaba Point,Hyderabad,Tier 1,South Indian,Masala Dosa,8,90.6,20,2.61,12.8,20.9,19.3,20.9,1.6,0.46,32.9,17.17,12.9,14.5,23,9.9,Delayed,8.1,3.73
ORDER_0093,MCH_138,Urban Kitchen Lounge,Pune,Tier 2,Fast Food,Zinger Burger & Fries,10,77.9,11,1.91,14.2,19.1,20.3,20.3,0,0.59,31.3,16.7,9.1,9.1,28,3.3,On Time,4.9,2.4
ORDER_0094,MCH_050,Shree Kitchen Story,Jaipur,Tier 3,Chinese,Hakka Noodles,10,61.5,0,1.03,7.6,10.3,15,15,0,0.51,28,11.23,0.3,0.3,23,5,On Time,2.7,0.93
ORDER_0095,MCH_259,Desi Bake Express,Ahmedabad,Tier 2,Biryani,Chicken Dum Biryani,18,69.8,9,1.65,25,29.7,29.2,29.7,0.5,0.69,42.7,26.46,11.7,12.2,38,4.7,On Time,4.7,3.24
ORDER_0096,MCH_107,Spicy Biryani Corner,Delhi,Tier 3,North Indian,Dal Makhani Combo,12,58.2,0,0.96,8.7,11.5,16.2,16.2,0,0.5,29.2,12.45,-0.5,-0.5,23,6.2,Delayed,2.8,0.95
ORDER_0097,MCH_113,The Cafe Lounge,Pune,Tier 3,Fast Food,Zinger Burger & Fries,10,59.4,0,0.99,9.2,9.9,16.7,16.7,0,0.5,28.7,12.95,-0.1,-0.1,20,8.7,Delayed,0.7,3.05
ORDER_0098,MCH_254,Grand Tandoor Darbar,Jaipur,Tier 2,Biryani,Hyderabadi Mutton Biryani,20,68.9,5,1.43,24.9,28.6,30.1,30.1,0,0.65,44.1,26.72,8.6,8.6,31,13.1,Delayed,3.7,1.88
ORDER_0099,MCH_118,Grand Chaat Darbar,Kolkata,Tier 1,Biryani,Chicken Dum Biryani,18,95,27,3.05,53.4,54.9,56.9,56.9,0,0.77,66.9,54.2,36.9,36.9,28,38.9,Cancelled,1.5,0.7
ORDER_0100,MCH_198,Shree Chaat Lounge,Hyderabad,Tier 3,Chinese,Hakka Noodles,10,57.6,0,0.95,5,9.5,11.6,11.6,0,0.56,24.6,7.9,-0.5,-0.5,23,1.6,On Time,4.5,1.6
ORDER_0101,MCH_051,Spicy Chaat Story,Delhi,Tier 2,Beverages,Cold Coffee,4,76.1,9,1.77,2,7.1,6.7,7.1,0.4,0.66,21.1,3.73,3.1,3.5,23,-1.9,Early,5.1,3.37
ORDER_0102,MCH_245,Urban Cafe Palace,Chennai,Tier 1,Fast Food,Zinger Burger & Fries,10,73.3,10,1.77,14.4,17.7,21.4,21.4,0,0.53,31.4,17.69,7.7,7.7,24,7.4,Delayed,3.3,0.01
ORDER_0103,MCH_035,Desi Kitchen Palace,Kolkata,Tier 2,Beverages,Cold Coffee,4,73.1,6,1.56,2,6.2,5.8,6.2,0.4,0.72,19.2,3.18,2.2,2.6,17,2.2,On Time,4.2,3.02
ORDER_0104,MCH_069,Shree Biryani Point,Kolkata,Tier 2,Fast Food,Zinger Burger & Fries,10,73.2,5,1.51,11.6,15.1,17.3,17.3,0,0.62,32.3,13.77,5.1,5.1,24,8.3,Delayed,3.5,1.33
ORDER_0105,MCH_049,Urban Kitchen Palace,Kolkata,Tier 2,South Indian,Idli Vada Set,5,60.8,4,1.22,3.1,6.1,8.6,8.6,0,0.63,23.6,5.14,1.1,1.1,16,7.6,Delayed,3,0.96
ORDER_0106,MCH_074,Desi Cafe Junction,Pune,Tier 3,North Indian,Paneer Butter Masala & Naan,15,59,0,0.98,11.7,14.7,15.2,15.2,0,0.77,28.2,12.5,-0.3,-0.3,25,3.2,On Time,3,2.2
ORDER_0107,MCH_192,Desi Kitchen Hub,Kolkata,Tier 2,Beverages,Cold Coffee,4,69.4,11,1.74,5.9,7,10.7,10.7,0,0.68,25.7,7.44,3,3,21,4.7,On Time,1.1,0.44
ORDER_0108,MCH_261,Golden Grill Hub,Mumbai,Tier 2,North Indian,Paneer Butter Masala & Naan,15,60.9,4,1.22,16.1,18.3,19.5,19.5,0,0.77,33.5,16.88,3.3,3.3,33,0.5,On Time,2.2,1.42
ORDER_0109,MCH_070,Desi Dosa Junction,Ahmedabad,Tier 1,Biryani,Chicken Dum Biryani,18,83.6,19,2.42,36.8,43.6,42.1,43.6,1.5,0.55,54.6,39.86,25.6,27.1,37,17.6,Delayed,6.8,3.74
ORDER_0110,MCH_090,The Wok Hub,Delhi,Tier 1,Desserts,Choco Lava Cake,6,88.9,18,2.48,5.5,14.9,12.7,14.9,2.2,0.37,26.9,11.42,8.9,11.1,16,10.9,Delayed,9.4,3.48
ORDER_0111,MCH_260,Classic Biryani Lounge,Mumbai,Tier 3,South Indian,Idli Vada Set,5,61.3,0,1.03,3.1,5.2,7.5,7.5,0,0.71,22.5,4.38,0.2,0.2,18,4.5,On Time,2.1,0.82
ORDER_0112,MCH_126,Bombay Bake Darbar,Hyderabad,Tier 2,North Indian,Dal Makhani Combo,12,77.4,10,1.85,16.5,22.2,23.3,23.3,0,0.55,35.3,19.56,10.2,10.2,22,13.3,Delayed,5.7,2.64
ORDER_0113,MCH_231,Shree Tandoor Palace,Hyderabad,Tier 3,South Indian,Masala Dosa,8,61.8,0,1.04,2,8.3,5.9,8.3,2.4,0.58,21.3,4.65,0.3,2.7,21,0.3,On Time,6.3,3.65
